country,production_(tons),production_per_person_(kg),acreage_(hectare),yield_(kg_/_hectare)
Saint Lucia,"10,000",55.915,125,"80,000"
Grenada,"7,303",70.678,163,"44,811.2"
Guinea-Bissau,"6,923",4.368,263,"26,279.4"
Portugal,"5,544",0.539,62,"89,288.4"
Antigua and Barbuda,"5,365",62.17,83,"64,638.6"
Dominica,"4,917",68.969,248,"19,851.7"
Oman,"1,190",0.237,51,"23,372.3"
Spain,"1,091",0.023,17,"64,176.5"
Yemen,500,0.017,50,"10,000"
Bhutan,415,0.571,13,"31,031.2"
Lebanon,91,0.015,4,"23,197.7"
Djibouti,53,0.051,N/A,N/A
Singapore,50,0.009,2,"25,000"
Samoa,12,0.06,1,"11,944.4"
Syria,1,0,0,"74,252.2"
